appstore_store_id,appstore_bundle_id,appstore_developer_url,url,status_code
14273,14273,,https://channelstore.roku.com/details/214ed1d843bba0884f63f3d4b9ab9e7e:f1476f29b6e1b372e4e045a0b44aa807/anna-montana,200
14422,14422,,https://channelstore.roku.com/details/390490d4405b627dd5a8cb1869ecb219:b85677c48065ad309133238f96a01163/anna-montana-demo,200
14487,14487,,https://channelstore.roku.com/details/fdd97d72f414cbb596ac4a04d022c8ff:e68acd9c18bfd762dcbfe27c700b5f47/almavision,200
14686,14686,,https://channelstore.roku.com/details/0c3dd06fdaa38bbc0dc373fc8bb3d285:6579d47d59d99d2c55a8486bb0489ad4/kingsword-tv,200
14711,14711,,https://channelstore.roku.com/details/0de6507036b0059711f19faf83983c49:15ac0d93a04119003b9eef2581ef8553/all-in-outdoors,200
14760,14760,,https://channelstore.roku.com/details/72f721d2f1fa58d73ece5dfc0b5c920e:2f4e9629e4e8c1a7a6e8e0afc38dd0fb/kvtv,200
15151,15151,,https://channelstore.roku.com/details/0b67506c5e6130a67fdd6884d3d774ca:41ca8762b3f137b8d370d3b53f456884/calvary-hanford,200
15349,15349,,https://channelstore.roku.com/details/4e936592f171907802dea830f9d508d7:b66d62ce822b36f9c437023b4bf75f83/ahlulbayt-tv,200
15358,15358,https://futuretodayinc.com,https://channelstore.roku.com/details/506a770977e10572df78acc85065e745:94f77a7b288cb964fe371d519dd30e51/kids-recipes-by-ifoodtv,200
15479,15479,,https://channelstore.roku.com/details/ede52ba72d9122fdd50170cab4a27847:a9f7d74816fd1c9d02e5611ea6ebafb6/god-tv,200
15619,15619,,https://channelstore.roku.com/details/efbf8cbd41f2f5f347f4e356653a80aa:79b7c78f3e57dc5e188920d98eb47abe/yogavibes,200
15673,15673,,https://channelstore.roku.com/details/d82f515aeed0e1c8545dac434de94bdc:e95025f3fd584f308ff84902795c6f4f/fireflies-screensaver-free,200
15771,15771,,https://channelstore.roku.com/details/c1cc04f33f4d353567818f1bbeca3bb5:d66b5eb89374fb181ec87aaac14a7701/new-tang-dynasty-television,200
15829,15829,,https://channelstore.roku.com/details/91c43e4da956629b5b8a29c90c296b26:f9296fe328ddff66e76553e8dbf83916/bible-explorations,200
16030,16030,,https://channelstore.roku.com/details/1862bf241307774f812f26e3a76b43b8:acc6f18e799ec7b450b30e3d255bc8be/aliens-and-ufos-channel,200
16269,16269,,https://channelstore.roku.com/details/69ea8e8a316c3f982db0286a71ca33c2:d2ae12fe3234a4845707de97f453994b/pakistanvision-plus,200
16283,16283,,https://channelstore.roku.com/details/0f29d8eb14887f7e9f27b7d8166fd37e:64c7ed98cd3da0047e8f67f307d97f87/jerusalem-channel,200
16294,16294,,https://channelstore.roku.com/details/33b7353c0e0f18efeec676b63b63ef68:656bf8a7062881a3033ac626f9a7bdd2/the-traveling-twosome-channel,200
16368,16368,,https://channelstore.roku.com/details/69ec6eb2fc122a9c175fb5f3bb4fa83e:0093273cb2664843c5031b54494cc3da/the-impact-network,200
16374,16374,,https://channelstore.roku.com/details/ccdc36267d0d3f468dea2afe36ef1dd2:361e590a09dc0391bd2c48ca7d592c09/potta-divine-tv,200
17002,17002,,https://channelstore.roku.com/details/87c79adac2b7eb02f8fbc468c84898b0:5617b6515ce98ed89f78c7860d6ce4aa/impact-radio-network,200
16614,16614,,https://channelstore.roku.com/details/ab26273a7e7a104b8ef00d8361a7a657:055757c3f442b459ea5a2d13beeeef11/daystar,200
17093,17093,,https://channelstore.roku.com/details/0021011e9850404936b9a70d6cee7b89:7162be89c14513c41910caf8d7c052bc/aquarium-screensaver,200
17009,17009,https://pilotx.tv,https://channelstore.roku.com/details/89f8aad6f3b53f71cd6f67991de4f6fd:5c7140443d9f05bd19d339054395505f/sportfishing-with-dan,200
17184,17184,,https://channelstore.roku.com/details/634593dd404e07d26a223e6421e50cae:0a30d29d7ec72a104a85227c703e25fb/water-of-life,200
17638,17638,,https://channelstore.roku.com/details/50e6842e7bfdeb000cb9754c8e940ff8:0b2b1afcc4d6164f6f7c2f2330613a0c/roksbox-cloud,200
17270,17270,,https://channelstore.roku.com/details/7b1e8dc3d2c6163a879fc634817d05c7:43a2b1272c707301d8d757dde9dd9c43/al-mouridiyyah-television,200
